분류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,구글코드
코스피,일양약품,007570,의약품 제조업,"일반의약품(원비디,영비천,아진탈,디세텔,노루모산),항암제(베타-이뮤난),전문의약품 제조,판매,수출입",1974-08-28,12월,김동연,http://www.ilyang.co.kr,경기도,KRX:007570
코스피,한진,002320,도로 화물 운송업,"포장화물,택배산업,항만하역,고속버스사업,운수보관",1974-08-12,12월,"조양호, 서용원",http://www.hanjin.co.kr,서울특별시,KRX:002320
코스피,한국수출포장공업,002200,"골판지, 종이 상자 및 종이용기 제조업","골판지상자,골판지원지 제조,판매",1974-06-28,12월,대표이사 회장 허용삼 대표이사 사장 허정훈(각자대표이사),http://www.keppack.co.kr,서울특별시,KRX:002200
코스피,현대자동차,005380,자동차용 엔진 및 자동차 제조업,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",1974-06-28,12월,"정몽구, 윤갑한, 이원희(각자 대표이사)",http://www.hyundai.com,서울특별시,KRX:005380
코스피,모나미,005360,생활용품 도매업,"BP153(BALL POINT PEN), P-3000(PLUS PEN), 유성매직, 보드마카, 네임펜, PARKER, WARTERMAN, 색연필",1974-06-26,12월,송하경,http://www.monami.com,경기도,KRX:005360
코스피,한화케미칼,009830,기초 화학물질 제조업,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",1974-06-19,12월,김창범,http://hcc.hanwha.co.kr,서울특별시,KRX:009830
코스피,아세아,002030,기타 금융업,"회사본부,지주회사 및 경영컨설팅 서비스업",1974-06-03,12월,고규환,http://asiaholdings.co.kr,서울특별시,KRX:002030
코스피,카프로,006380,기초 화학물질 제조업,"카프로락탐,유안비료 제조",1974-05-28,12월,박승언,http://www.hcccapro.co.kr,서울특별시,KRX:006380
코스피,롯데제과,004990,기타 식품 제조업,"과자류,빙과류,껌 제조",1974-02-16,12월,"신동빈, 김용수, 황각규",http://www.lotteconf.co.kr,서울특별시,KRX:004990
코스피,대한방직,001070,직물직조 및 직물제품 제조업,"면사,화섬사,면직물 제조,판매,건설",1973-12-28,12월,"설 범, 김 인호",http://www.thtc.co.kr,서울특별시,KRX:001070
코스피,서울식품공업,004410,기타 식품 제조업,"빵,스넥,마아가린,유지류,사료 제조,도매",1973-12-28,12월,서성훈,http://seoul-food.co.kr,충청북도,KRX:004410
코스피,아이에이치큐,003560,"영화, 비디오물, 방송프로그램 제작 및 배급업","매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",1973-12-18,12월,전용주,http://www.ihq.co.kr,서울특별시,KRX:003560
코스피,LS네트웍스,000680,상품 종합 도매업,"혁화,의류,등산용품 도매,제조/부동산 임대",1973-11-15,12월,"구자용,윤선노,문성준(각자 대표이사)",http://www.lsnetworks.co.kr,경상남도,KRX:000680
코스피,금호전기,001210,전구 및 조명장치 제조업,"형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매",1973-11-15,12월,박명구,http://www.khe.co.kr,서울특별시,KRX:001210
코스피,알보젠코리아,002250,의약품 제조업,의약품(카리메트),1973-11-10,12월,장영희,http://www.Alvogenkorea.com,서울특별시,KRX:002250
코스피,하이트진로홀딩스,000140,기타 금융업,지주회사,1973-09-19,12월,김인규,http://www.hitejinroholdings.com,서울특별시,KRX:000140
코스피,노루홀딩스,000320,기타 금융업,지주사업,1973-08-10,12월,"한영재,김용기",http://www.norooholdings.co.kr,경기도,KRX:000320
코스피,기아차,000270,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",1973-07-21,12월,"이형근, 박한우",http://www.kia.co.kr,서울특별시,KRX:000270
코스피,효성,004800,화학섬유 제조업,"스판덱스,합성원사,나일론,폴리에스터,타이어코드지,PET병,수지제품,중전기제품(변압기,차단기),사무용기계,컴퓨터 제조/건축공사",1973-06-30,12월,"Hyun-Jun Cho, Kyoo-Young Kim",http://www.hyosung.com,서울특별시,KRX:004800
코스피,CJ,001040,기타 금융업,지주회사,1973-06-29,12월,"손경식, 이재현, 이채욱",http://www.cj.net,서울특별시,KRX:001040
코스피,두산,000150,회사 본부 및 경영 컨설팅 서비스업,"청주,소주,인쇄회로기판(인쇄회로용동박적층판),관련전자부품,기계 제조,판매/출판사업,상가임대,외식사업(KFC)",1973-06-29,12월,"박정원, 이재경",http://www.doosancorp.co.kr,서울특별시,KRX:000150
코스피,휴스틸,005010,1차 철강 제조업,"강관(배관용,구조용,유정용) 제조,도매",1973-06-29,12월,박훈,http://www.husteel.com,서울특별시,KRX:005010
코스피,동부화재해상보험,005830,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,김정남,http://www.idongbu.com,서울특별시,KRX:005830
코스피,대웅,003090,기타 금융업,"지주회사/의약품,화공약품,농예약품,위생용품,의료용구,식품,전기전자기구,부품 제조,판매",1973-06-26,12월,"윤영환, 윤재승, 윤재춘",http://www.daewoong.com/,경기도,KRX:003090
코스피,동양물산기업,002900,특수 목적용 기계 제조업,"농기계,연초용필터,금속제양식기,철강압연 제조,도매,수출입/신문서적 수출입,판매",1973-06-26,12월,김희용,http://www.tym.co.kr,서울특별시,KRX:002900
코스피,진양산업,003780,플라스틱제품 제조업,"합성수지,폴리우레탄스폰지 제조,도매,수출입",1973-06-26,12월,임규호,http://www.cyc1963.com,경상남도,KRX:003780
코스피,영진약품,003520,의약품 제조업,"의약품(드링크제,항생제,영양수액제),의약부외품 제조,판매",1973-06-25,12월,박수준,http://www.yungjin.co.kr,서울특별시,KRX:003520
코스피,케이씨씨,002380,기타 화학제품 제조업,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",1973-06-25,12월,"정몽진, 정몽익",http://www.kccworld.co.kr,서울특별시,KRX:002380
코스피,롯데칠성음료,005300,비알코올음료 및 얼음 제조업,"청량음료,과채류음료,곡류음료,주류 제조,판매/자동차정비,연수원",1973-06-21,12월,"이재혁, 이영구, 이종훈",http://company.lottechilsung.co.kr,서울특별시,KRX:005300
코스피,일신방직,003200,방적 및 가공사 제조업,"면사,P/C혼방사,P/C혼방직물,화섬사 제조,수출",1973-05-23,12월,김정수,http://www.ilshin.co.kr,서울특별시,KRX:003200
코스피,롯데푸드,002270,낙농제품 및 식용빙과류 제조업,"빙과,유지,식품 제조",1973-05-09,12월,이영호(李榮鎬),http://www.lottesamkang.co.kr,서울특별시,KRX:002270
코스피,아모레퍼시픽그룹,002790,기타 금융업,지주회사,1973-04-30,12월,"서경배, 배동현",http://www.apgroup.com,서울특별시,KRX:002790
코스피,제주은행,006220,은행 및 저축기관,"은행업무,외국환업무,신탁업무",1972-12-28,12월,이동대,http://www.e-jejubank.com,제주특별자치도,KRX:006220
